"","target_end_date","abbreviation","cases","location","state_name"
"112",2022-12-10,"AL",234,1,"Alabama"
"113",2022-12-17,"AL",153,1,"Alabama"
"114",2022-12-24,"AL",153,1,"Alabama"
"115",2022-12-31,"AL",148,1,"Alabama"
"116",2023-01-07,"AL",125,1,"Alabama"
"117",2023-01-14,"AL",99,1,"Alabama"
"118",2023-01-21,"AL",57,1,"Alabama"
"119",2023-01-28,"AL",42,1,"Alabama"
"120",2023-02-04,"AL",36,1,"Alabama"
"121",2023-02-11,"AL",29,1,"Alabama"
"122",2023-02-18,"AL",30,1,"Alabama"
"123",2023-02-25,"AL",31,1,"Alabama"
"124",2023-03-04,"AL",16,1,"Alabama"
"125",2023-03-11,"AL",17,1,"Alabama"
"126",2023-03-18,"AL",22,1,"Alabama"
"127",2023-03-25,"AL",20,1,"Alabama"
"128",2023-04-01,"AL",27,1,"Alabama"
"129",2023-04-08,"AL",17,1,"Alabama"
"130",2023-04-15,"AL",16,1,"Alabama"
"131",2023-04-22,"AL",20,1,"Alabama"
"132",2023-04-29,"AL",13,1,"Alabama"
"133",2023-05-06,"AL",5,1,"Alabama"
"134",2023-05-13,"AL",14,1,"Alabama"
"135",2023-05-20,"AL",11,1,"Alabama"
"136",2023-05-27,"AL",11,1,"Alabama"
"137",2023-06-03,"AL",25,1,"Alabama"
"138",2023-06-10,"AL",14,1,"Alabama"
"139",2023-06-17,"AL",5,1,"Alabama"
"140",2023-06-24,"AL",11,1,"Alabama"
"141",2023-07-01,"AL",11,1,"Alabama"
"142",2023-07-08,"AL",3,1,"Alabama"
"143",2023-07-15,"AL",14,1,"Alabama"
"144",2023-07-22,"AL",15,1,"Alabama"
"145",2023-07-29,"AL",32,1,"Alabama"
"146",2023-08-05,"AL",13,1,"Alabama"
"147",2023-08-12,"AL",9,1,"Alabama"
"148",2023-08-19,"AL",9,1,"Alabama"
"149",2023-08-26,"AL",12,1,"Alabama"
"150",2023-09-02,"AL",12,1,"Alabama"
"151",2023-09-09,"AL",5,1,"Alabama"
"152",2023-09-16,"AL",20,1,"Alabama"
"153",2023-09-23,"AL",11,1,"Alabama"
"154",2023-09-30,"AL",23,1,"Alabama"
"155",2023-10-07,"AL",20,1,"Alabama"
"156",2023-10-14,"AL",26,1,"Alabama"
"157",2023-10-21,"AL",30,1,"Alabama"
"158",2023-10-28,"AL",32,1,"Alabama"
"159",2023-11-04,"AL",37,1,"Alabama"
"160",2023-11-11,"AL",59,1,"Alabama"
"161",2023-11-18,"AL",76,1,"Alabama"
"162",2023-11-25,"AL",73,1,"Alabama"
"163",2023-12-02,"AL",85,1,"Alabama"
"164",2023-12-09,"AL",110,1,"Alabama"
"165",2023-12-16,"AL",151,1,"Alabama"
"166",2023-12-23,"AL",275,1,"Alabama"
"167",2023-12-30,"AL",296,1,"Alabama"
"168",2024-01-06,"AL",348,1,"Alabama"
"169",2024-01-13,"AL",237,1,"Alabama"
"170",2024-01-20,"AL",173,1,"Alabama"
"171",2024-01-27,"AL",143,1,"Alabama"
"172",2024-02-03,"AL",102,1,"Alabama"
"173",2024-02-10,"AL",111,1,"Alabama"
"174",2024-02-17,"AL",121,1,"Alabama"
"175",2024-02-24,"AL",86,1,"Alabama"
"176",2024-03-02,"AL",84,1,"Alabama"
"177",2024-03-09,"AL",77,1,"Alabama"
"178",2024-03-16,"AL",64,1,"Alabama"
